Date,Open,High,Low,Close,Adj Close,Volume
2022-02-18,57.270000,57.709999,56.770000,57.049999,54.912064,946000
2022-02-22,56.459999,57.305000,56.349998,56.779999,54.652180,1345700
2022-02-23,57.389999,57.470001,55.700001,55.779999,53.689655,1253700
2022-02-24,54.639999,56.099998,54.209999,56.049999,53.949535,1546500
2022-02-25,55.980000,57.040001,55.480000,57.009998,54.873558,1154800
2022-02-28,56.230000,56.590000,55.470001,55.980000,53.882160,1658900
2022-03-01,55.669998,55.709999,54.480000,54.639999,52.592377,1407000
2022-03-02,55.220001,56.215000,55.000000,55.980000,53.882160,1203900
2022-03-03,56.200001,56.200001,55.042000,55.209999,53.141014,1324900
2022-03-04,54.650002,55.730000,54.599998,55.500000,53.420147,1719200
2022-03-07,55.869999,55.910000,54.230000,54.310001,52.274746,2002200
2022-03-08,54.439999,57.250000,54.009998,55.270000,53.198769,1910800
2022-03-09,56.650002,58.040001,56.650002,57.310001,55.162319,2227200
2022-03-10,57.000000,57.889999,56.490002,57.490002,55.335571,1244800
2022-03-11,58.070000,58.220001,56.380001,56.470001,54.353802,1562700
2022-03-14,56.509998,56.930000,55.639999,56.160000,54.055416,1901100
2022-03-15,56.520000,57.235001,56.009998,56.349998,54.238293,1974000
2022-03-16,57.189999,57.590000,56.279999,57.389999,55.239315,1549600
2022-03-17,56.860001,57.889999,56.849998,57.880001,55.710957,1452600
2022-03-18,57.610001,58.500000,57.090000,58.400002,56.211472,3797300
2022-03-21,58.500000,58.500000,57.509998,58.029999,55.855335,1273900
2022-03-22,57.900002,58.419998,57.509998,58.180000,56.525715,3059400
2022-03-23,57.990002,57.990002,56.549999,56.590000,54.980927,1228600
2022-03-24,56.520000,57.130001,56.200001,57.130001,55.505573,789500
2022-03-25,57.180000,57.310001,56.889999,57.279999,55.651310,698000
2022-03-28,57.169998,57.310001,56.310001,56.959999,55.340408,911000
2022-03-29,57.740002,58.160000,57.500000,57.820000,56.175953,883500
2022-03-30,57.639999,58.529999,57.570000,58.259998,56.603443,755100
2022-03-31,58.459999,59.134998,58.180000,58.389999,56.729744,748900
2022-04-01,58.840000,58.849998,57.580002,58.220001,56.564583,1012100
2022-04-04,58.049999,59.230000,58.049999,58.990002,57.312687,912800
2022-04-05,58.660000,59.380001,58.540001,58.750000,57.079510,933900
2022-04-06,58.299999,59.220001,57.634998,59.200001,57.516716,1222200
2022-04-07,59.139999,59.340000,58.360001,59.160000,57.477848,1361800
2022-04-08,59.150002,59.695000,58.889999,59.150002,57.468136,772900
2022-04-11,59.029999,59.480000,58.779999,59.250000,57.565292,698500
2022-04-12,59.340000,59.840000,58.660000,59.080002,57.400127,1038100
2022-04-13,58.930000,60.299999,58.930000,59.939999,58.235672,896400
2022-04-14,60.090000,60.570000,59.759998,60.430000,58.711742,1031000
2022-04-18,60.099998,60.790001,59.700001,59.799999,58.099651,917500
2022-04-19,59.650002,60.450001,59.650002,60.220001,58.507713,944900
2022-04-20,60.639999,61.459999,60.480000,61.360001,59.615299,1119200
2022-04-21,61.779999,61.790001,60.410000,60.529999,58.808895,725600
2022-04-22,60.400002,60.419998,57.849998,57.889999,56.243961,1118700
2022-04-25,57.599998,58.799999,57.099998,58.720001,57.050365,2269100
2022-04-26,58.150002,58.290001,57.349998,57.820000,56.175953,1399800
2022-04-27,57.730000,58.189999,57.189999,57.680000,56.039932,1212100
2022-04-28,58.009998,58.930000,57.165001,58.360001,56.700596,1087500
2022-04-29,58.259998,58.860001,57.040001,57.090000,55.466709,1254500
2022-05-02,56.930000,57.549999,56.220001,56.959999,55.340408,1970100
2022-05-03,58.400002,58.400002,55.080002,55.160000,53.591587,2543400
2022-05-04,54.500000,54.750000,52.160000,54.310001,52.765759,2617700
2022-05-05,53.669998,53.939999,52.415001,53.270000,51.755325,2185300
2022-05-06,53.080002,53.590000,52.220001,52.509998,51.016933,1748100
2022-05-09,51.669998,52.270000,50.790001,50.830002,49.384708,2027500
2022-05-10,51.430000,51.910000,50.619999,51.020000,49.569305,2106000
2022-05-11,50.990002,51.509998,49.895000,49.959999,48.539444,1476400
2022-05-12,49.500000,50.540001,49.369999,50.040001,48.617172,1384800
2022-05-13,50.630001,52.009998,50.599998,51.759998,50.288261,1131500
2022-05-16,51.529999,51.950001,51.185001,51.730000,50.259113,1582800
2022-05-17,52.430000,52.560001,51.570000,52.020000,50.540874,1352400
2022-05-18,51.560001,51.750000,50.631001,50.810001,49.365276,1406600
2022-05-19,50.630001,51.020000,50.209999,50.290001,48.860058,2372100
2022-05-20,50.740002,50.840000,49.349998,50.380001,48.947502,2396700
2022-05-23,50.759998,51.009998,49.910000,50.689999,49.248684,1535600
2022-05-24,50.240002,50.439999,49.500000,50.230000,48.801765,1289900
2022-05-25,50.090000,50.869999,49.910000,50.139999,48.714325,1706500
2022-05-26,50.029999,51.549999,50.029999,50.770000,49.326412,1603200
2022-05-27,51.189999,51.470001,50.705002,51.139999,49.685894,1708500
2022-05-31,52.360001,52.880001,51.849998,52.509998,51.016933,2784300
2022-06-01,52.770000,52.813000,51.580002,51.849998,50.375706,1205100
2022-06-02,51.740002,52.869999,51.660000,52.849998,51.347271,1235100
2022-06-03,52.610001,52.750000,52.020000,52.070000,50.589447,965400
2022-06-06,52.299999,52.459999,51.910000,52.110001,50.628311,926300
2022-06-07,51.720001,52.389999,51.650002,52.270000,50.783760,1127500
2022-06-08,52.110001,52.560001,51.830002,52.279999,50.793476,1328300
2022-06-09,51.730000,52.166000,51.400002,51.439999,49.977356,757600
2022-06-10,50.799999,50.910000,49.820000,50.160000,48.733757,1389400
2022-06-13,49.020000,49.509998,48.349998,48.410000,47.033516,2795700
2022-06-14,48.570000,48.849998,47.770000,47.849998,46.489441,2028700
2022-06-15,48.240002,48.939999,48.099998,48.660000,47.276405,2013900
2022-06-16,48.009998,48.009998,46.680000,46.939999,45.605316,1659600
2022-06-17,47.250000,48.189999,47.000000,47.790001,46.431149,3942500
2022-06-21,47.900002,48.450001,47.590000,48.270000,47.433468,3726100
2022-06-22,47.840000,48.695999,47.669998,47.970001,47.138668,1091200
2022-06-23,48.189999,48.695000,47.860001,48.650002,47.806885,1199400
2022-06-24,49.320000,49.799999,49.099998,49.750000,48.887821,1152400
2022-06-27,49.880001,50.419998,49.580002,50.320000,49.447941,1199500
2022-06-28,50.509998,50.849998,49.040001,49.070000,48.219604,1093000
2022-06-29,49.119999,49.689999,48.709999,49.610001,48.750244,751300
2022-06-30,49.270000,50.220001,48.889999,50.150002,49.280888,1687500
2022-07-01,50.270000,51.970001,50.099998,51.590000,50.695930,1440400
2022-07-05,50.750000,51.735001,50.439999,51.709999,50.813850,1195100
2022-07-06,51.820000,51.869999,50.980000,51.330002,50.440437,940100
2022-07-07,51.419998,51.810001,51.209999,51.759998,50.862984,1088300
2022-07-08,51.759998,52.259998,51.410000,52.070000,51.167610,948600
2022-07-11,51.570000,51.764999,51.240002,51.549999,50.656624,765000
2022-07-12,51.500000,51.830002,50.860001,51.110001,50.224251,751200
